TimeGenerated,OperationName,Category,Result,ResultReason,ResultDescription,ActivityDisplayName,ActivityDateTime,AADOperationType,Identity,InitiatedBy,TargetResources,LoggedByService,Type
2026-04-28T13:57:05Z,Sign-in activity,SignInLogs,success,,,Sign-in activity,2026-04-28T13:57:05Z,Sign-in,ehernandez@corp.example,"{""user"":{""userPrincipalName"":""ehernandez@corp.example""}}","[{""displayName"":""dkim"",""userPrincipalName"":""dkim@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T14:27:57Z,Reset user password,UserManagement,failure,,,Reset user password,2026-04-28T14:27:57Z,Reset,mwhite@corp.example,"{""user"":{""userPrincipalName"":""mwhite@corp.example""}}","[{""displayName"":""olopez"",""userPrincipalName"":""olopez@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T14:31:45Z,Add member to group,GroupManagement,success,,,Add member to group,2026-04-28T14:31:45Z,Add,tnguyen@corp.example,"{""user"":{""userPrincipalName"":""tnguyen@corp.example""}}","[{""displayName"":""dkim"",""userPrincipalName"":""dkim@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T14:40:32Z,Add member to role,RoleManagement,success,,,Add member to role,2026-04-28T14:40:32Z,Add,sthompson@corp.example,"{""user"":{""userPrincipalName"":""sthompson@corp.example""}}","[{""displayName"":""rmorales"",""userPrincipalName"":""rmorales@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T14:45:42Z,Add app role assignment to user,RoleManagement,success,,,Add app role assignment to user,2026-04-28T14:45:42Z,Add,kpatel@corp.example,"{""user"":{""userPrincipalName"":""kpatel@corp.example""}}","[{""displayName"":""sthompson"",""userPrincipalName"":""sthompson@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T14:50:56Z,Reset user password,UserManagement,failure,,,Reset user password,2026-04-28T14:50:56Z,Reset,dkim@corp.example,"{""user"":{""userPrincipalName"":""dkim@corp.example""}}","[{""displayName"":""olopez"",""userPrincipalName"":""olopez@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T14:53:39Z,Update application,ApplicationManagement,success,,,Update application,2026-04-28T14:53:39Z,Update,agarcia@corp.example,"{""user"":{""userPrincipalName"":""agarcia@corp.example""}}","[{""displayName"":""tnguyen"",""userPrincipalName"":""tnguyen@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T14:53:50Z,Add user,UserManagement,success,,,Add user,2026-04-28T14:53:50Z,Add,agarcia@corp.example,"{""user"":{""userPrincipalName"":""agarcia@corp.example""}}","[{""displayName"":""bsato"",""userPrincipalName"":""bsato@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T14:54:05Z,Add member to group,GroupManagement,success,,,Add member to group,2026-04-28T14:54:05Z,Add,dkim@corp.example,"{""user"":{""userPrincipalName"":""dkim@corp.example""}}","[{""displayName"":""kpatel"",""userPrincipalName"":""kpatel@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T14:56:26Z,Add user,UserManagement,failure,,,Add user,2026-04-28T14:56:26Z,Add,rmorales@corp.example,"{""user"":{""userPrincipalName"":""rmorales@corp.example""}}","[{""displayName"":""lwoods"",""userPrincipalName"":""lwoods@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T14:58:23Z,Remove member from group,GroupManagement,success,,,Remove member from group,2026-04-28T14:58:23Z,Remove,ehernandez@corp.example,"{""user"":{""userPrincipalName"":""ehernandez@corp.example""}}","[{""displayName"":""tnguyen"",""userPrincipalName"":""tnguyen@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T15:00:46Z,Reset user password,UserManagement,success,,,Reset user password,2026-04-28T15:00:46Z,Reset,jharris@corp.example,"{""user"":{""userPrincipalName"":""jharris@corp.example""}}","[{""displayName"":""bsato"",""userPrincipalName"":""bsato@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T15:04:55Z,Add app role assignment to user,RoleManagement,success,,,Add app role assignment to user,2026-04-28T15:04:55Z,Add,mwhite@corp.example,"{""user"":{""userPrincipalName"":""mwhite@corp.example""}}","[{""displayName"":""bsato"",""userPrincipalName"":""bsato@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T15:06:49Z,Update application,ApplicationManagement,success,,,Update application,2026-04-28T15:06:49Z,Update,tnguyen@corp.example,"{""user"":{""userPrincipalName"":""tnguyen@corp.example""}}","[{""displayName"":""bsato"",""userPrincipalName"":""bsato@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T15:08:55Z,Remove member from group,GroupManagement,success,,,Remove member from group,2026-04-28T15:08:55Z,Remove,tnguyen@corp.example,"{""user"":{""userPrincipalName"":""tnguyen@corp.example""}}","[{""displayName"":""sthompson"",""userPrincipalName"":""sthompson@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T15:12:51Z,Add app role assignment to user,RoleManagement,success,,,Add app role assignment to user,2026-04-28T15:12:51Z,Add,jharris@corp.example,"{""user"":{""userPrincipalName"":""jharris@corp.example""}}","[{""displayName"":""bsato"",""userPrincipalName"":""bsato@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T15:15:39Z,Update application,ApplicationManagement,success,,,Update application,2026-04-28T15:15:39Z,Update,bsato@corp.example,"{""user"":{""userPrincipalName"":""bsato@corp.example""}}","[{""displayName"":""kpatel"",""userPrincipalName"":""kpatel@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T15:17:55Z,Update user,UserManagement,success,,,Update user,2026-04-28T15:17:55Z,Update,olopez@corp.example,"{""user"":{""userPrincipalName"":""olopez@corp.example""}}","[{""displayName"":""mwhite"",""userPrincipalName"":""mwhite@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T15:19:03Z,Delete user,UserManagement,success,,,Delete user,2026-04-28T15:19:03Z,Delete,ehernandez@corp.example,"{""user"":{""userPrincipalName"":""ehernandez@corp.example""}}","[{""displayName"":""mwhite"",""userPrincipalName"":""mwhite@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T15:23:41Z,Reset user password,UserManagement,failure,,,Reset user password,2026-04-28T15:23:41Z,Reset,tnguyen@corp.example,"{""user"":{""userPrincipalName"":""tnguyen@corp.example""}}","[{""displayName"":""sthompson"",""userPrincipalName"":""sthompson@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T15:27:16Z,Reset user password,UserManagement,failure,,,Reset user password,2026-04-28T15:27:16Z,Reset,agarcia@corp.example,"{""user"":{""userPrincipalName"":""agarcia@corp.example""}}","[{""displayName"":""rmorales"",""userPrincipalName"":""rmorales@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T15:29:28Z,Add member to group,GroupManagement,success,,,Add member to group,2026-04-28T15:29:28Z,Add,tnguyen@corp.example,"{""user"":{""userPrincipalName"":""tnguyen@corp.example""}}","[{""displayName"":""tnguyen"",""userPrincipalName"":""tnguyen@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T15:32:45Z,Add owner to application,ApplicationManagement,success,,,Add owner to application,2026-04-28T15:32:45Z,Add,jharris@corp.example,"{""user"":{""userPrincipalName"":""jharris@corp.example""}}","[{""displayName"":""kpatel"",""userPrincipalName"":""kpatel@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T15:34:19Z,Add app role assignment to user,RoleManagement,success,,,Add app role assignment to user,2026-04-28T15:34:19Z,Add,rmorales@corp.example,"{""user"":{""userPrincipalName"":""rmorales@corp.example""}}","[{""displayName"":""tnguyen"",""userPrincipalName"":""tnguyen@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T15:42:36Z,Update user,UserManagement,success,,,Update user,2026-04-28T15:42:36Z,Update,olopez@corp.example,"{""user"":{""userPrincipalName"":""olopez@corp.example""}}","[{""displayName"":""dkim"",""userPrincipalName"":""dkim@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
2026-04-28T15:42:57Z,Sign-in activity,SignInLogs,success,,,Sign-in activity,2026-04-28T15:42:57Z,Sign-in,ehernandez@corp.example,"{""user"":{""userPrincipalName"":""ehernandez@corp.example""}}","[{""displayName"":""dkim"",""userPrincipalName"":""dkim@corp.example"",""type"":""User""}]",Core Directory,AuditLogs
