TimeGenerated,Computer,EventID,Activity,Account,AccountType,AccountDomain,AccountName,TargetUserName,TargetDomainName,IpAddress,IpPort,LogonType,LogonProcessName,FailureReason,ProcessName,NewProcessName,ParentProcessName,CommandLine,ServiceName,ServiceFileName,EventSourceName,Channel,Type
2026-04-29T06:35:28Z,WS-IT-01,4688,,CORP\kpatel,User,CORP,kpatel,kpatel,CORP,,,,,,C:\Windows\System32\firefox.exe,C:\Windows\System32\firefox.exe,C:\Windows\System32\OneDrive.exe,"""C:\Windows\System32\firefox.exe""",,,Microsoft-Windows-Security-Auditing,Security,SecurityEvent
2026-04-29T06:35:50Z,WS-IT-02,4634,,CORP\lwoods,User,CORP,lwoods,lwoods,CORP,,,3,Kerberos,,,,,,,,Microsoft-Windows-Security-Auditing,Security,SecurityEvent
2026-04-29T06:36:30Z,WS-DEV-02,4625,,CORP\rmorales,User,CORP,rmorales,rmorales,CORP,10.133.157.223,51902,5,User32,Unknown user name or bad password.,,,,,,,Microsoft-Windows-Security-Auditing,Security,SecurityEvent
2026-04-29T06:36:35Z,WS-OPS-02,4624,,CORP\tnguyen,User,CORP,tnguyen,tnguyen,CORP,172.28.145.230,49314,5,NtLmSsp,,,,,,,,Microsoft-Windows-Security-Auditing,Security,SecurityEvent
2026-04-29T06:36:44Z,SVR-WEB-01,4625,,CORP\lwoods,User,CORP,lwoods,lwoods,CORP,10.81.251.12,64914,2,Advapi,Unknown user name or bad password.,,,,,,,Microsoft-Windows-Security-Auditing,Security,SecurityEvent
2026-04-29T06:36:58Z,WS-MKT-02,4732,,CORP\sthompson,User,CORP,sthompson,newuser343,CORP,,,,,,,,,,,,Microsoft-Windows-Security-Auditing,Security,SecurityEvent
2026-04-29T06:37:05Z,WS-HR-03,4624,,CORP\bsato,User,CORP,bsato,bsato,CORP,10.25.68.212,54052,11,Kerberos,,,,,,,,Microsoft-Windows-Security-Auditing,Security,SecurityEvent
2026-04-29T06:37:17Z,WS-IT-01,4688,,CORP\mwhite,User,CORP,mwhite,mwhite,CORP,,,,,,C:\Windows\System32\smss.exe,C:\Windows\System32\smss.exe,C:\Windows\System32\lsass.exe,"""C:\Windows\System32\smss.exe""",,,Microsoft-Windows-Security-Auditing,Security,SecurityEvent
2026-04-29T06:37:52Z,WS-DEV-02,4625,,CORP\kpatel,User,CORP,kpatel,kpatel,CORP,10.190.239.225,51832,3,Seclogo,The user has not been granted the requested logon type at this machine.,,,,,,,Microsoft-Windows-Security-Auditing,Security,SecurityEvent
2026-04-29T06:38:13Z,WS-MKT-01,4624,,CORP\ehernandez,User,CORP,ehernandez,ehernandez,CORP,10.77.40.114,57178,3,Kerberos,,,,,,,,Microsoft-Windows-Security-Auditing,Security,SecurityEvent
2026-04-29T06:38:13Z,WS-MKT-02,4634,,CORP\tnguyen,User,CORP,tnguyen,tnguyen,CORP,,,2,Negotiate,,,,,,,,Microsoft-Windows-Security-Auditing,Security,SecurityEvent
2026-04-29T06:38:18Z,WS-OPS-02,4624,,CORP\sthompson,User,CORP,sthompson,sthompson,CORP,192.168.254.207,54454,3,Advapi,,,,,,,,Microsoft-Windows-Security-Auditing,Security,SecurityEvent
2026-04-29T06:38:30Z,WS-OPS-02,4634,,CORP\rmorales,User,CORP,rmorales,rmorales,CORP,,,5,NtLmSsp,,,,,,,,Microsoft-Windows-Security-Auditing,Security,SecurityEvent
2026-04-29T06:38:33Z,WS-IT-01,4688,,CORP\olopez,User,CORP,olopez,olopez,CORP,,,,,,C:\Windows\System32\svchost.exe,C:\Windows\System32\svchost.exe,C:\Windows\System32\SearchHost.exe,"""C:\Windows\System32\svchost.exe""",,,Microsoft-Windows-Security-Auditing,Security,SecurityEvent
2026-04-29T06:38:47Z,WS-IT-01,4624,,CORP\sthompson,User,CORP,sthompson,sthompson,CORP,10.36.17.223,60331,5,Seclogo,,,,,,,,Microsoft-Windows-Security-Auditing,Security,SecurityEvent
2026-04-29T06:39:08Z,SVR-WEB-01,4634,,CORP\sthompson,User,CORP,sthompson,sthompson,CORP,,,5,Kerberos,,,,,,,,Microsoft-Windows-Security-Auditing,Security,SecurityEvent
2026-04-29T06:39:08Z,WS-OPS-01,4688,,CORP\mwhite,User,CORP,mwhite,mwhite,CORP,,,,,,C:\Windows\System32\chrome.exe,C:\Windows\System32\chrome.exe,C:\Windows\System32\Teams.exe,"""C:\Windows\System32\chrome.exe""",,,Microsoft-Windows-Security-Auditing,Security,SecurityEvent
2026-04-29T06:39:12Z,WS-HR-03,4624,,CORP\ehernandez,User,CORP,ehernandez,ehernandez,CORP,10.196.214.153,64083,5,Kerberos,,,,,,,,Microsoft-Windows-Security-Auditing,Security,SecurityEvent
2026-04-29T06:39:18Z,WS-OPS-02,4732,,CORP\lwoods,User,CORP,lwoods,newuser772,CORP,,,,,,,,,,,,Microsoft-Windows-Security-Auditing,Security,SecurityEvent
2026-04-29T06:39:22Z,WS-HR-03,4625,,CORP\lwoods,User,CORP,lwoods,lwoods,CORP,172.30.31.33,56924,3,NtLmSsp,The specified account's password has expired.,,,,,,,Microsoft-Windows-Security-Auditing,Security,SecurityEvent
2026-04-29T06:39:40Z,SVR-WEB-01,4688,,CORP\dkim,User,CORP,dkim,dkim,CORP,,,,,,C:\Windows\System32\lsass.exe,C:\Windows\System32\lsass.exe,C:\Windows\System32\OneDrive.exe,"""C:\Windows\System32\lsass.exe""",,,Microsoft-Windows-Security-Auditing,Security,SecurityEvent
2026-04-29T06:39:49Z,WS-FINANCE-01,4688,,CORP\mholmes,User,CORP,mholmes,mholmes,CORP,,,,,,,C:\Windows\System32\chrome.exe,C:\Windows\System32\explorer.exe,C:\Program Files\Google\Chrome\Application\chrome.exe,,,Microsoft-Windows-Security-Auditing,Security,SecurityEvent
2026-04-29T06:40:11Z,WS-HR-03,4625,,CORP\sthompson,User,CORP,sthompson,sthompson,CORP,10.238.71.124,59818,3,Negotiate,Account currently disabled.,,,,,,,Microsoft-Windows-Security-Auditing,Security,SecurityEvent
