TimeGenerated,UserPrincipalName,UserDisplayName,UserId,IPAddress,AppDisplayName,AppId,ClientAppUsed,ResultType,ResultDescription,ConditionalAccessStatus,IsRisky,RiskLevelDuringSignIn,RiskState,RiskEventTypes,LocationDetails,DeviceDetail,AuthenticationRequirement,IsInteractive,UserAgent,Type
2026-04-28T09:49:12Z,jadams@corp.example,Jadams,uid-jadams,73.45.12.11,Microsoft Teams,app-microsoft_teams,Browser,0,,success,0,,none,,"{""city"": ""Indianapolis"", ""state"": ""Indiana"", ""countryOrRegion"": ""US""}","{""deviceId"": """", ""operatingSystem"": ""Windows 11""}",singleFactorAuthentication,1,Mozilla/5.0,SigninLogs
2026-04-28T09:58:26Z,jadams@corp.example,Jadams,uid-jadams,73.45.12.11,Microsoft Teams,app-microsoft_teams,Browser,0,,success,0,,none,,"{""city"": ""Indianapolis"", ""state"": ""Indiana"", ""countryOrRegion"": ""US""}","{""deviceId"": """", ""operatingSystem"": ""Windows 11""}",singleFactorAuthentication,1,Mozilla/5.0,SigninLogs
2026-04-28T10:19:52Z,bryce@corp.example,Bryce,uid-bryce,73.45.12.12,SharePoint,app-sharepoint,Browser,0,,success,0,,none,,"{""city"": ""Indianapolis"", ""state"": ""Indiana"", ""countryOrRegion"": ""US""}","{""deviceId"": """", ""operatingSystem"": ""Windows 11""}",singleFactorAuthentication,1,Mozilla/5.0,SigninLogs
2026-04-28T10:49:42Z,mholmes@corp.example,Mholmes,uid-mholmes,73.45.12.11,SharePoint,app-sharepoint,Browser,0,,success,0,,none,,"{""city"": ""Indianapolis"", ""state"": ""Indiana"", ""countryOrRegion"": ""US""}","{""deviceId"": """", ""operatingSystem"": ""Windows 11""}",singleFactorAuthentication,1,Mozilla/5.0,SigninLogs
2026-04-28T11:00:26Z,jadams@corp.example,Jadams,uid-jadams,73.45.12.11,SharePoint,app-sharepoint,Browser,0,,success,0,,none,,"{""city"": ""Indianapolis"", ""state"": ""Indiana"", ""countryOrRegion"": ""US""}","{""deviceId"": """", ""operatingSystem"": ""Windows 11""}",singleFactorAuthentication,1,Mozilla/5.0,SigninLogs
2026-04-28T11:08:46Z,mholmes@corp.example,Mholmes,uid-mholmes,73.45.12.10,Office 365,app-office_365,Browser,50053,Account is locked.,success,0,,none,,"{""city"": ""Indianapolis"", ""state"": ""Indiana"", ""countryOrRegion"": ""US""}","{""deviceId"": """", ""operatingSystem"": ""Windows 11""}",singleFactorAuthentication,1,Mozilla/5.0,SigninLogs
2026-04-28T11:43:24Z,bryce@corp.example,Bryce,uid-bryce,73.45.12.12,Microsoft Teams,app-microsoft_teams,Browser,0,,success,0,,none,,"{""city"": ""Indianapolis"", ""state"": ""Indiana"", ""countryOrRegion"": ""US""}","{""deviceId"": """", ""operatingSystem"": ""Windows 11""}",singleFactorAuthentication,1,Mozilla/5.0,SigninLogs
2026-04-28T12:36:42Z,bryce@corp.example,Bryce,uid-bryce,73.45.12.11,Office 365,app-office_365,Browser,0,,success,0,,none,,"{""city"": ""Indianapolis"", ""state"": ""Indiana"", ""countryOrRegion"": ""US""}","{""deviceId"": """", ""operatingSystem"": ""Windows 11""}",singleFactorAuthentication,1,Mozilla/5.0,SigninLogs
2026-04-28T13:33:30Z,jadams@corp.example,Jadams,uid-jadams,73.45.12.10,Office 365,app-office_365,Browser,0,,success,0,,none,,"{""city"": ""Indianapolis"", ""state"": ""Indiana"", ""countryOrRegion"": ""US""}","{""deviceId"": """", ""operatingSystem"": ""Windows 11""}",singleFactorAuthentication,1,Mozilla/5.0,SigninLogs
2026-04-28T14:15:49Z,bryce@corp.example,Bryce,uid-bryce,73.45.12.11,Microsoft Teams,app-microsoft_teams,Browser,0,,success,0,,none,,"{""city"": ""Indianapolis"", ""state"": ""Indiana"", ""countryOrRegion"": ""US""}","{""deviceId"": """", ""operatingSystem"": ""Windows 11""}",singleFactorAuthentication,1,Mozilla/5.0,SigninLogs
2026-04-28T14:23:00Z,jadams@corp.example,Jadams,uid-jadams,73.45.12.10,Office 365,app-office_365,Browser,0,,success,0,,none,,"{""city"": ""Indianapolis"", ""state"": ""Indiana"", ""countryOrRegion"": ""US""}","{""deviceId"": """", ""operatingSystem"": ""Windows 11""}",singleFactorAuthentication,1,Mozilla/5.0,SigninLogs
2026-04-28T14:25:09Z,dchen@corp.example,Dchen,uid-dchen,73.45.12.10,Office 365,app-office_365,Browser,50053,Account is locked.,success,0,,none,,"{""city"": ""Indianapolis"", ""state"": ""Indiana"", ""countryOrRegion"": ""US""}","{""deviceId"": """", ""operatingSystem"": ""Windows 11""}",singleFactorAuthentication,1,Mozilla/5.0,SigninLogs
2026-04-28T15:40:42Z,jadams@corp.example,Jadams,uid-jadams,73.45.12.11,Microsoft Teams,app-microsoft_teams,Browser,0,,success,0,,none,,"{""city"": ""Indianapolis"", ""state"": ""Indiana"", ""countryOrRegion"": ""US""}","{""deviceId"": """", ""operatingSystem"": ""Windows 11""}",singleFactorAuthentication,1,Mozilla/5.0,SigninLogs
2026-04-28T16:55:44Z,bryce@corp.example,Bryce,uid-bryce,73.45.12.11,Office 365,app-office_365,Browser,0,,success,0,,none,,"{""city"": ""Indianapolis"", ""state"": ""Indiana"", ""countryOrRegion"": ""US""}","{""deviceId"": """", ""operatingSystem"": ""Windows 11""}",singleFactorAuthentication,1,Mozilla/5.0,SigninLogs
2026-04-28T17:00:26Z,jadams@corp.example,Jadams,uid-jadams,73.45.12.10,SharePoint,app-sharepoint,Browser,0,,success,0,,none,,"{""city"": ""Indianapolis"", ""state"": ""Indiana"", ""countryOrRegion"": ""US""}","{""deviceId"": """", ""operatingSystem"": ""Windows 11""}",singleFactorAuthentication,1,Mozilla/5.0,SigninLogs
2026-04-28T17:06:17Z,mholmes@corp.example,Mholmes,uid-mholmes,73.45.12.10,Office 365,app-office_365,Browser,0,,success,0,,none,,"{""city"": ""Indianapolis"", ""state"": ""Indiana"", ""countryOrRegion"": ""US""}","{""deviceId"": """", ""operatingSystem"": ""Windows 11""}",singleFactorAuthentication,1,Mozilla/5.0,SigninLogs
2026-04-28T18:53:40Z,olopez@corp.example,Olopez,uid-olopez,77.83.205.180,Microsoft Teams,app-teams,Browser,50057,User account is disabled.,failure,1,high,atRisk,unfamiliarFeatures,"{""city"": ""Moscow"", ""state"": ""Moscow"", ""countryOrRegion"": ""RU""}","{""deviceId"": """", ""operatingSystem"": ""Windows 10""}",singleFactorAuthentication,1,Mozilla/5.0,SigninLogs
2026-04-28T19:17:23Z,jadams@corp.example,Jadams,uid-jadams,73.45.12.12,SharePoint,app-sharepoint,Browser,0,,success,0,,none,,"{""city"": ""Indianapolis"", ""state"": ""Indiana"", ""countryOrRegion"": ""US""}","{""deviceId"": """", ""operatingSystem"": ""Windows 11""}",singleFactorAuthentication,1,Mozilla/5.0,SigninLogs
2026-04-28T20:08:46Z,jadams@corp.example,Jadams,uid-jadams,73.45.12.11,Office 365,app-office_365,Browser,0,,success,0,,none,,"{""city"": ""Indianapolis"", ""state"": ""Indiana"", ""countryOrRegion"": ""US""}","{""deviceId"": """", ""operatingSystem"": ""Windows 11""}",singleFactorAuthentication,1,Mozilla/5.0,SigninLogs
2026-04-28T20:42:40Z,bsato@corp.example,Bsato,uid-bsato,178.176.74.10,Azure Portal,app-azure_portal,Browser,50074,Strong authentication required.,failure,1,high,atRisk,unfamiliarFeatures,"{""city"": ""Novosibirsk"", ""state"": """", ""countryOrRegion"": ""RU""}","{""deviceId"": """", ""operatingSystem"": ""Windows 10""}",singleFactorAuthentication,1,Mozilla/5.0,SigninLogs
2026-04-28T21:11:39Z,dchen@corp.example,Dchen,uid-dchen,73.45.12.11,Microsoft Teams,app-microsoft_teams,Browser,0,,success,0,,none,,"{""city"": ""Indianapolis"", ""state"": ""Indiana"", ""countryOrRegion"": ""US""}","{""deviceId"": """", ""operatingSystem"": ""Windows 11""}",singleFactorAuthentication,1,Mozilla/5.0,SigninLogs
2026-04-28T22:10:40Z,bryce@corp.example,Bryce,uid-bryce,73.45.12.10,Microsoft Teams,app-microsoft_teams,Browser,0,,success,0,,none,,"{""city"": ""Indianapolis"", ""state"": ""Indiana"", ""countryOrRegion"": ""US""}","{""deviceId"": """", ""operatingSystem"": ""Windows 11""}",singleFactorAuthentication,1,Mozilla/5.0,SigninLogs
2026-04-28T22:20:39Z,mholmes@corp.example,Mholmes,uid-mholmes,73.45.12.10,Office 365,app-office_365,Browser,50053,Account is locked.,success,0,,none,,"{""city"": ""Indianapolis"", ""state"": ""Indiana"", ""countryOrRegion"": ""US""}","{""deviceId"": """", ""operatingSystem"": ""Windows 11""}",singleFactorAuthentication,1,Mozilla/5.0,SigninLogs
2026-04-28T22:28:23Z,jadams@corp.example,Jadams,uid-jadams,73.45.12.10,Microsoft Teams,app-microsoft_teams,Browser,0,,success,0,,none,,"{""city"": ""Indianapolis"", ""state"": ""Indiana"", ""countryOrRegion"": ""US""}","{""deviceId"": """", ""operatingSystem"": ""Windows 11""}",singleFactorAuthentication,1,Mozilla/5.0,SigninLogs
2026-04-28T22:31:40Z,dkim@corp.example,Dkim,uid-dkim,5.255.255.50,Office 365,app-office_365,Browser,50053,User account is locked.,failure,1,high,atRisk,unfamiliarFeatures,"{""city"": ""Saint Petersburg"", ""state"": """", ""countryOrRegion"": ""RU""}","{""deviceId"": """", ""operatingSystem"": ""Windows 10""}",singleFactorAuthentication,1,Mozilla/5.0,SigninLogs
2026-04-28T22:48:15Z,bryce@corp.example,Bryce,uid-bryce,73.45.12.12,SharePoint,app-sharepoint,Browser,0,,success,0,,none,,"{""city"": ""Indianapolis"", ""state"": ""Indiana"", ""countryOrRegion"": ""US""}","{""deviceId"": """", ""operatingSystem"": ""Windows 11""}",singleFactorAuthentication,1,Mozilla/5.0,SigninLogs
2026-04-28T22:57:50Z,dchen@corp.example,Dchen,uid-dchen,73.45.12.11,SharePoint,app-sharepoint,Browser,0,,success,0,,none,,"{""city"": ""Indianapolis"", ""state"": ""Indiana"", ""countryOrRegion"": ""US""}","{""deviceId"": """", ""operatingSystem"": ""Windows 11""}",singleFactorAuthentication,1,Mozilla/5.0,SigninLogs
