TimeGenerated,UserPrincipalName,UserDisplayName,UserId,IPAddress,AppDisplayName,AppId,ClientAppUsed,ResultType,ResultDescription,ConditionalAccessStatus,IsRisky,RiskLevelDuringSignIn,RiskState,RiskEventTypes,LocationDetails,DeviceDetail,AuthenticationRequirement,IsInteractive,UserAgent,Type
2026-04-28T18:50:04Z,mwhite@corp.example,Mwhite,uid-mwhite,73.45.12.211,Microsoft Teams,app-microsoft_teams,Browser,0,,success,0,low,none,,"{""city"": ""Indianapolis"", ""state"": ""Indiana"", ""countryOrRegion"": ""US""}","{""deviceId"": """", ""operatingSystem"": ""Windows 10""}",singleFactorAuthentication,1,Mozilla/5.0,SigninLogs
2026-04-28T18:50:39Z,gnorris@corp.example,Gnorris,uid-gnorris,73.45.12.91,Office 365,app-office_365,Browser,0,,success,0,low,none,,"{""city"": ""Seattle"", ""state"": ""Washington"", ""countryOrRegion"": ""US""}","{""deviceId"": """", ""operatingSystem"": ""iOS""}",singleFactorAuthentication,1,Mozilla/5.0,SigninLogs
2026-04-28T18:51:17Z,tnguyen@corp.example,Tnguyen,uid-tnguyen,73.45.12.59,SharePoint Online,app-sharepoint,Browser,0,,success,0,low,none,,"{""city"": ""Seattle"", ""state"": ""Washington"", ""countryOrRegion"": ""US""}","{""deviceId"": """", ""operatingSystem"": ""Windows 11""}",singleFactorAuthentication,1,Mozilla/5.0,SigninLogs
2026-04-28T18:51:37Z,ahaynes@corp.example,Ahaynes,uid-ahaynes,73.45.12.86,Microsoft Teams,app-microsoft_teams,Browser,0,,success,0,low,none,,"{""city"": ""Austin"", ""state"": ""Texas"", ""countryOrRegion"": ""US""}","{""deviceId"": """", ""operatingSystem"": ""iOS""}",singleFactorAuthentication,1,Mozilla/5.0,SigninLogs
2026-04-28T18:53:40Z,olopez@corp.example,Olopez,uid-olopez,77.83.205.180,Microsoft Teams,app-teams,Browser,50057,User account is disabled.,failure,1,high,atRisk,unfamiliarFeatures,"{""city"": ""Moscow"", ""state"": ""Moscow"", ""countryOrRegion"": ""RU""}","{""deviceId"": """", ""operatingSystem"": ""Windows 10""}",singleFactorAuthentication,1,Mozilla/5.0,SigninLogs
2026-04-28T18:54:01Z,ahaynes@corp.example,Ahaynes,uid-ahaynes,73.45.12.247,Microsoft Teams,app-microsoft_teams,Browser,0,,success,0,low,none,,"{""city"": ""Seattle"", ""state"": ""Washington"", ""countryOrRegion"": ""US""}","{""deviceId"": """", ""operatingSystem"": ""macOS""}",singleFactorAuthentication,1,Mozilla/5.0,SigninLogs
2026-04-28T18:54:27Z,kpatel@corp.example,Kpatel,uid-kpatel,73.45.12.171,Azure Portal,app-azure_portal,Browser,0,,success,0,low,none,,"{""city"": ""Indianapolis"", ""state"": ""Indiana"", ""countryOrRegion"": ""US""}","{""deviceId"": """", ""operatingSystem"": ""iOS""}",singleFactorAuthentication,1,Mozilla/5.0,SigninLogs
2026-04-28T18:55:14Z,kpatel@corp.example,Kpatel,uid-kpatel,73.45.12.163,Office 365,app-office_365,Browser,0,,success,0,low,none,,"{""city"": ""Seattle"", ""state"": ""Washington"", ""countryOrRegion"": ""US""}","{""deviceId"": """", ""operatingSystem"": ""iOS""}",singleFactorAuthentication,1,Mozilla/5.0,SigninLogs
2026-04-28T18:56:00Z,sthompson@corp.example,Sthompson,uid-sthompson,73.45.12.12,Office 365,app-office_365,Browser,0,,success,0,low,none,,"{""city"": ""Seattle"", ""state"": ""Washington"", ""countryOrRegion"": ""US""}","{""deviceId"": """", ""operatingSystem"": ""Windows 10""}",singleFactorAuthentication,1,Mozilla/5.0,SigninLogs
2026-04-28T18:56:12Z,kpatel@corp.example,Kpatel,uid-kpatel,73.45.12.147,OneDrive,app-onedrive,Browser,0,,success,0,low,none,,"{""city"": ""Indianapolis"", ""state"": ""Indiana"", ""countryOrRegion"": ""US""}","{""deviceId"": """", ""operatingSystem"": ""iOS""}",singleFactorAuthentication,1,Mozilla/5.0,SigninLogs
2026-04-28T18:58:30Z,phopkins@corp.example,Phopkins,uid-phopkins,73.45.12.53,OneDrive,app-onedrive,Browser,0,,success,0,low,none,,"{""city"": ""Chicago"", ""state"": ""Illinois"", ""countryOrRegion"": ""US""}","{""deviceId"": """", ""operatingSystem"": ""Windows 11""}",singleFactorAuthentication,1,Mozilla/5.0,SigninLogs
2026-04-28T19:00:06Z,mevans@corp.example,Mevans,uid-mevans,73.45.12.163,SharePoint Online,app-sharepoint,Browser,0,,success,0,low,none,,"{""city"": ""Boston"", ""state"": ""Massachusetts"", ""countryOrRegion"": ""US""}","{""deviceId"": """", ""operatingSystem"": ""macOS""}",singleFactorAuthentication,1,Mozilla/5.0,SigninLogs
2026-04-28T19:00:16Z,sthompson@corp.example,Sthompson,uid-sthompson,73.45.12.199,Exchange Online,app-exchange,Browser,0,,success,0,low,none,,"{""city"": ""Seattle"", ""state"": ""Washington"", ""countryOrRegion"": ""US""}","{""deviceId"": """", ""operatingSystem"": ""iOS""}",singleFactorAuthentication,1,Mozilla/5.0,SigninLogs
